Spalte1;Column1;Column12;Column2;Column3;Column4;Column5;lat;lng;Web-URL;WZ;Umsatz normiert;Finanzierungsgeschäft;Provision;Zahlungsverkehr;Ertragspotenzial;Ansprechpartner;E-Mail;Bonität;Straße
0;64193;64000;REWE ZENTRALFINANZ E G KÖLN;50668;Köln;45.648.900 T€ (2016);50,94260788;6,96796608;https://www.rewe-group.com;Dienstleistung; 45.648.900.000   ; 520.397   ; 217.289   ; 111.384   ; 849.070   ;Gesine Müller;Gesine.Mueller@rewe-group.com;3D;
1;35112;35000;RWE POWER AG KÖLN;50935;Köln;42.771.000 T€ (2003);50,94260788;6,96796608;http://www.rwe.com;Dienstleistung; 42.771.000.000   ; 521.806   ; 164.241   ; 160.819   ; 846.866   ;Kjell Schmidt;Kjell.Schmidt@rwe.com;1C;
2;51100;51000;DEUTSCHE LUFTHANSA AG KÖLN;50679;Köln;31.660.000 T€ (2016);50,94260788;6,96796608;https://www.lufthansa.com;Dienstleistung; 31.660.000.000   ; 231.118   ; 116.509   ; 266.577   ; 614.204   ;Linda Schneider;Linda.Schneider@lufthansa.com;1E;
3;70101;70000;REWE DEUTSCHER SUPERMARKT AG CO KGAA KÖL;50668;Köln;28.530.500 T€ (2016);;;https://www.rewe-group.com;Dienstleistung; 28.530.500.000   ; 368.043   ; 140.370   ; 16.548   ; 524.961   ;Ruth Fischer;Ruth.Fischer@rewe-group.com;2E;
4;74900;74000;Ford Deutschland Holding GmbH;50735;Köln;23.079.800 T€ (2016);;;https://www.ford.de;Dienstleistung; 23.079.800.000   ; 300.037   ; 112.629   ; 21.234   ; 433.900   ;Eva Weber;Eva.Weber@ford.de;1B;
5;29101;29000;Ford-Werke GmbH;50735;Köln;19.815.000 T€ (2015);50,99375534;6,95991993;https://www.ford.de;Industrie/ Handwerk; 19.815.000.000   ; 206.076   ; 72.919   ; 89.564   ; 368.559   ;Christina Meyer;Christina.Meyer@ford.de;2D;Auf der Seekante 12
6;;;INEOS Deutschland Holding GmbH;50769;Köln;17.220.500 T€ (2014);51,04626083;6,850763798;http://www.ineoskoeln.de;; 17.220.500.000   ; 194.592   ; 81.281   ; 61.649   ; 337.522   ;Lennja Wagner;Lennja.Wagner@ineoskoeln.de;3C;BaptistStraße 44
7;27320;27000;NKT Group GmbH;51061;Köln;14.451.100 T€ (2010);50,99834061;6,991382122;https://www.nkt.com;Industrie/ Handwerk; 14.451.100.000   ; 176.303   ; 51.446   ; 38.151   ; 265.900   ;Rory Becker;Rory.Becker@nkt.com;2C;SemmelweisStraße 111
8;;;LANXESS AG KÖLN;50679;Köln;7.699.000 T€ (2016);50,94260788;6,96796608;https://lanxess.de;; 7.699.000.000   ; 80.070   ; 21.557   ; 46.194   ; 147.821   ;Elias Schulz;Elias.Schulz@lanxess.de;1D;
9;45200;45000;Autowerkstatt Rainer Herzer GmbH;50969;Köln;7.274.000 T€ (2006);50,90608597;6,937514782;;Großhandel; 7.274.000.000   ; 69.103   ; 25.314   ; 36.515   ; 130.932   ;Andrea Hoffmann;;1E;Zollstockgürtel 47
10;70101;70000;transGourmet Holding GmbH;50668;Köln;6.230.915 T€ (2010);50,94987869;6,96416378;;Dienstleistung; 6.230.915.000   ; 61.686   ; 23.179   ; 34.769   ; 119.634   ;Svea Schäfer;;3D;Theodor-Heuss-Ring 50
11;;;STADTWERKE KÖLN GMBH KÖLN;50823;Köln;4.763.296 T€ (2015);50,94260788;6,96796608;;; 4.763.296.000   ; 33.819   ; 17.529   ; 38.202   ; 89.550   ;Sören Koch;;3E;
12;;;LANXESS DEUTSCHLAND GMBH LEVERKUSEN;50569;Köln;3.377.869 T€ (2006);;;https://lanxess.de;; 3.377.869.000   ; 43.575   ; 16.079   ; 4.526   ; 64.180   ;Lasse Bauer;Lasse.Bauer@lanxess.de;1A;
